id,smiles,proba
76,COc1ccc(COC(=O)C(C)C)cc1,0.9961310625076294
77,C=CC(CCCCC)OC1=C(C)OC(C)C1=O,0.9960843324661255
78,CC(C)C(=O)OC(C)(C)Cc1ccccc1,0.996046245098114
79,C=C(COC(=O)CCCC(C)C)C1CC=C(C)CC1,0.9960158467292786
80,CC=CC(C)C(=O)OC(CCCC)CCCCC(=O)OCc1ccccc1,0.996001660823822
81,CCC(C(C)=O)C(=O)OC1=C(C)OC(C)C1=O,0.9959546327590942
82,Cc1ccc(COC(=O)CCc2ccco2)cc1,0.9959391355514526
83,C=CCC(C)C(=O)OCc1ccc(C)cc1,0.9958565831184387
84,CCCCCC(CC)OC(=O)C(CC)CCCC,0.995646059513092
85,C=C(COC(=O)CCc1ccccc1)C1CC=C(C)CC1,0.9956315755844116
86,C=C(COC(=O)CCC(C)C)C1CC=C(C)CC1,0.9956256151199341
87,CCOC(=O)C(C)C,0.995624840259552
88,CCCCC(=O)OCc1ccc(C)cc1,0.995590090751648
89,C=C(C)C1CC=C(COC(=O)C(CC)Cc2ccccc2)CC1,0.9955875873565674
90,CCCCC(CCCCC(=O)OCc1ccco1)OOC1CCCCC1,0.9955558180809021
91,CCCCCC(CC)OC1=C(C)OC(C)C1=O,0.9955464601516724
92,CCCCC(CC)C(=O)OCCC(C)C,0.9955461025238037
93,CCCCCC(C=O)OC1=C(C)OC(C)C1=O,0.9955204725265503
94,Cc1ccc(COC(=O)CCC(C)C)cc1,0.9954798221588135
95,CCCCC(CC)C(=O)CC=C(C)C,0.9954560995101929
96,CCCC(=O)CC(=O)C(=O)C(C)COCC,0.9954004883766174
97,CC(C)CCCC(=O)OCC(C)(C)C1CCC(C)CC1=O,0.9953624606132507
98,C=CC(CCCCC)OC(CCCC)CCCCC(=O)OCc1ccco1,0.99534010887146
99,C=C(COC(=O)C(C)C)C1CC=C(C)CC1,0.9952235817909241
100,CC=CC(C)C(=O)OC(CCCC)CCCCC(=O)CC(=O)O,0.9951253533363342
101,C=C(C)OCCC=C(C)CCOC(=O)C(C)CC,0.9951145648956299
102,CCCC(=O)CC(=O)OC1=C(C)OC(C)C1=O,0.9950588941574097
103,CCC(CC)COC(=O)C(O)C(O)C(=O)OC1=C(C)OC(C)C1=O,0.995053768157959
104,CCCCC(=O)C(O)C(O)C(=O)OC(C)(C)Cc1ccccc1,0.9950460195541382
105,CCC=CC(=O)OCc1c(C)occc1=O,0.9949883818626404
106,Cc1ccc(COC(=O)CCc2ccccc2)cc1,0.9948679208755493
107,CCCC(S)CCC(=O)COCc1ccc(C)cc1,0.9948405623435974
108,CCC=C(C)C(=O)OCc1ccc(C(C)C)cc1,0.9948179125785828
109,C=C(COC(=O)CCC(C)=O)C1CC=C(C)CC1,0.9947988986968994
110,CCCCC(CC)C(=O)OC(C)CC,0.9947845339775085
111,C=C(C)C1CC=C(COC(=O)C(O)C(O)C(=O)CCCC)CC1,0.9947840571403503
112,C=C(C)C1CC=C(COC(=O)CC(=O)CCC)CC1,0.9947445392608643
113,CCCCC(=O)C(O)C(O)C(=O)OCC1=CCC2CC1C2(C)C,0.9947439432144165
114,CC=CC(=O)OC(CCCC)CCCCC(=O)CC(=O)C(C)C,0.9947389960289001
115,CCCCC(=O)OCCC(C)=CCCNC(C)CC,0.9946399331092834
116,C=CCC(C)C(=O)C(=O)COC(=O)C(C)C=CC,0.9943628311157227
117,CC=CC(C)C(=O)OC(CCCC)CCCCC(=O)CCC(C)CCCC(C)C,0.9943354725837708
118,CCCCC(CC)C(=O)OC(C)OCC,0.9943071007728577
119,CCCCCCC(CC)C(=O)CCCCC(CCCC)OC(=O)CCCC,0.994261622428894
120,CCCCC(=O)C(O)C(O)C(=O)OCc1ccco1,0.9941396713256836
121,Cc1occc(=O)c1COC(=O)C(C)O,0.9941243529319763
122,CCCCC(C)OC(=O)C(CC)CCCC,0.9940980672836304
123,CCC(C)C(=O)OC1CCCCC1,0.994013249874115
124,C=C(COC(=O)CCCC(O)CCC)C1CC=C(C)CC1,0.9939877986907959
125,C=C(C)C1CC=C(COC(=O)CCCCC(CCCC)OCC=CCO)CC1,0.9939494132995605
126,C=C(COC(=O)C(O)CCCC)C1CC=C(C)CC1,0.9939325451850891
127,CC=C(C)C=CCC(=O)C(CC)CCCC,0.993930459022522
128,CCCCC(C(C)=O)C(=O)OC1=C(C)OC(C)C1=O,0.9938228130340576
129,CCCCCC(C)OC(=O)C(CC)CCCC,0.9938202500343323
130,CCC(C)C(=O)OCOc1c(C)occc1=O,0.9937784075737
131,CCCCC(C=O)C(=O)COC(=O)CC1(C)OCCO1,0.9937559366226196
132,CCCC(=O)CC(=O)OCCC(C)=CCCC(=O)C(CC)C(C)=O,0.9937559366226196
133,C=C(C)C1CC=C(COOC(CCCC)CCCCC(=O)OCc2ccco2)CC1,0.9936985969543457
134,CCC(C)COC(=O)C(C)C,0.993513822555542
135,CCCCC(O)C(=O)OC1=C(C)OC(C)C1=O,0.9934288859367371
136,C=CC(CCC)OC1=C(C)OC(C)C1=O,0.9933925271034241
137,C=C(C)C1CC=C(C)C(OC(=O)CCCCC(CCCC)OC(=O)C(C)(C)SC)C1,0.9933310151100159
138,CCCC(=O)OC1=C(C)OC(C)C1=O,0.9932852983474731
139,CCC(C)OC1=C(C)OC(C)C1=O,0.993243396282196
140,C=C(COC(=O)CCC1CCCCC1)C1CC=C(C)CC1,0.993126392364502
141,CCCCC(CCCCC(=O)OCC(C)C)OCC=CC(C)=O,0.9930344820022583
142,CC=CC(C)C(=O)OCC(=O)C1OC(=O)C(C)=C1C,0.9929688572883606
143,CC(C)COC(=O)C1CCCCC1,0.9927991628646851
144,CCCCC(CCCCC(=O)Cc1ccccc1)Oc1c(C)occc1=O,0.9926763772964478
145,C=CCC(C)C(=O)OC1=C(C)OC(C)C1=O,0.9926432967185974
146,CCCCC(CC)C(=O)C1CCCCC1,0.9925643801689148
147,CCCCCCC(CC)C(=O)CCCCC(CCCC)OC(=O)CCO,0.9924821257591248
148,CCCCC(CC)C(=O)CCCC(C)(O)C1CC=C(C)CC1,0.9923984408378601
149,CCCCC(CC)C(=O)C(=O)CC(=O)CCC,0.9923155307769775
150,CCCCCC(C)C(=O)COC(=O)CCc1ccco1,0.9922773838043213
151,CC(=O)C=CCOCc1ccc(C)cc1,0.9922730326652527
152,C=C(C)CC(=O)COC(=O)C(C)=CCC,0.9922519326210022
153,C=C(C)C1CC=C(COC(=O)C(O)CCCC)CC1,0.9921566247940063
154,CC1=C(OC=O)C(=O)C(C)O1,0.9919765591621399
155,CCCCC(=O)OC(CCCC)CCCCC(=O)OCc1ccco1,0.9918898940086365
156,CC1=C(OC(C)(C)C2CCC(C)CC2=O)C(=O)C(C)O1,0.991862416267395
157,CCCC(O)CC(=O)OCc1ccc(C)cc1,0.9918385148048401
158,Cc1ccc(COC(=O)CCO)cc1,0.9917480945587158
159,CCC=C(C)C(=O)OC1CCCCC1,0.9917086958885193
160,C=C(COC(=O)C(CCCC)C(C)=O)C1CC=C(C)CC1,0.9917032122612
161,CCCC(=O)OCc1ccc(C(C)C)cc1,0.9916492700576782
162,CC1=C(OCc2ccc(C)cc2)C(=O)C(C)O1,0.9916320443153381
163,CC=CC(C)C(=O)OC(CCCC)CCCCC(=O)C(=O)C(O)CC(C)C,0.9915574789047241
164,CCCCC(CCCCC(=O)C(=O)c1ccccc1NCC)OC(=O)C(C)C,0.9915533661842346
165,CC=C(C)C=CCC(=O)CCCCC(CCCC)OOCc1ccc(C(C)C)cc1,0.9914795160293579
166,C=C(C)COC(=O)C(CC)CCCC,0.9914276599884033
167,Cc1ccc(COC(=O)C(O)CC(C)C)cc1,0.9912988543510437
168,CCSC(C)CC(=O)OCc1ccc(C)cc1,0.9911613464355469
169,C=C(C)C1CC=C(COC(=O)C(C)C)CC1,0.9910998940467834
170,CCCCC(CC)C(=O)OC(CC)c1ccccc1,0.9910894632339478
171,CCCC(C)C(=O)OC1=C(C)OC(C)C1=O,0.9910008311271667
172,CCCCC(=O)C(CC)CCCC,0.9909403324127197
173,CCOC(=O)C1CCCCC1,0.9909362196922302
174,CCCCC(CC)C(=O)OCCC,0.9907941222190857
175,CCCC(O)CCCC(=O)OCc1ccc(C)cc1,0.9907798767089844
176,CCC=CCCOC(=O)C(CC)CCCC,0.9907185435295105
177,CC=C(C)C(=O)OCCC(C)=CCCC(=O)CCCC,0.9906384944915771
178,C=C(COC(=O)C(CC)C(C)=O)C1CC=C(C)CC1,0.9905000329017639
179,CCCCC(CC)C(=O)CC=CC(C)=O,0.990452766418457
180,CC=CC(C)C(=O)OCCCCC,0.9900863766670227
181,CCCC(=O)CC(=O)OCC(C)CC,0.9899751543998718
182,C=CCCCCCCCCCC(=O)OCCC(C)=CCCC(=O)C(CC)Cc1ccccc1,0.9897913932800293
183,CCC(=O)OCC(C)C,0.9897233247756958
184,C=C(C)OCCC=C(C)CCOC(=O)C(O)CCCC,0.9897164702415466
